,receipt_id,company_id,matched_transaction_id,feature_transaction_id,DateMappingMatch,AmountMappingMatch,DescriptionMatch,DifferentPredictedTime,TimeMappingMatch,PredictedNameMatch,ShortNameMatch,DifferentPredictedDate,PredictedAmountMatch,PredictedTimeCloseMatch,target
0,"10,000",10000,"10,468","10,000",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
1,"10,000",10000,"10,468","10,001",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
2,"10,000",10000,"10,468","10,003",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
3,"10,000",10000,"10,468","10,004",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
4,"10,000",10000,"10,468","10,005",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
5,"10,000",10000,"10,468","10,006",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
6,"10,000",10000,"10,468","10,008",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
7,"10,000",10000,"10,468","10,009",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
8,"10,000",10000,"10,468","10,010",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
9,"10,000",10000,"10,468","10,011",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
10,"10,000",10000,"10,468","10,016",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
11,"10,000",10000,"10,468","10,019",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
12,"10,000",10000,"10,468","10,020",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
13,"10,000",10000,"10,468","10,021",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
14,"10,000",10000,"10,468","10,022",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
15,"10,000",10000,"10,468","10,024",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
16,"10,000",10000,"10,468","10,025",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
17,"10,000",10000,"10,468","10,026",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
18,"10,000",10000,"10,468","10,028",0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
19,"10,000",10000,"10,468","10,029",0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
20,"10,001",10000,"10,605","10,596",0.0,0.4,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
21,"10,001",10000,"10,605","10,597",0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0
